se,1,1,2,0,1,7,7
se,0,0,2,1,0,8,6
at,1,2,1,0,2,9,5
tol,1,2,4,1,1,10,4
lit,1,1,3,2,0,11,3
in,1,1,3,0,0,12,2
au,2,1,9,0,1,13,1
ras,1,1,1,1,0,14,0
ing,1,2.5,3,0,4,0,16
re,1,1,2,1,3,1,15
di,1,1,3,2,2,2,14
tur,1,2,5,3,1,3,13
que,1,1,2,4,0,4,12
so,1,1,4,0,1,5,11
lo,0,0,4,1,0,6,10
et,1,2,2,0,0,7,9
ca,1,1,1,0,1,8,8
put,1,1,5,1,0,9,7
in,1,2,3,0,1,10,6
ter,1,2,2,1,0,11,5
nu,1,1,5,0,2,12,4
bi,1,1,3,1,1,13,3
la,1,1,1,2,0,14,2
con,1,2,4,0,1,15,1
dit,1,1,3,1,0,16,0
il,1,2,3,0,1,0,14
lam,1,2,1,1,0,1,13
ter,1,2,2,0,1,2,12
ra,1,1,1,1,0,3,11
pa,1,1,1,0,1,4,10
rens,1,2,2,1,0,5,9
i,1,1,3,0,1,6,8
ra,0,0,1,1,0,7,7
in,1,2,3,0,3,8,6
ri,1,1,3,1,2,9,5
ta,1,1,1,2,1,10,4
ta,1,1,1,3,0,11,3
de,1,0,2,0,2,12,2
o,1,1,4,1,1,13,1
rum,1,1,5,2,0,14,0
ext,1,3.5,2,0,2,0,16
re,1,1,2,1,1,1,15
mam,0,0,1,2,0,2,14
ut,1,2,5,0,0,3,13
per,1,1,2,0,2,4,12
hi,1,1,3,1,1,5,11
bent,1,3,2,2,0,6,10
coe,2,0,8,0,1,7,9
o,0,0,4,1,0,8,8
en,1,2,2,0,4,9,7
ce,1,1,2,1,3,10,6
la,1,1,1,2,2,11,5
do,1,1,4,3,1,12,4
que,1,1,2,4,0,13,3
so,1,1,4,0,2,14,2
ro,1,1,4,1,1,15,1
rem,1,1,2,2,0,16,0
pro,1,1,4,0,3,0,16
ge,1,1,2,1,2,1,15
nu,1,0,5,2,1,2,14
it,1,2,3,3,0,3,13
pe,1,1,2,0,2,4,12
di,1,1,3,1,1,5,11
bus,1,2,5,2,0,6,10
ce,1,1,2,0,2,7,9
le,1,1,2,1,1,8,8
rem,0,0,2,2,0,9,7
et,1,2,2,0,0,10,6
per,1,2,2,0,3,11,5
ni,1,1,3,1,2,12,4
ci,1,1,3,2,1,13,3
bus,1,1,5,3,0,14,2
a,1,1,1,0,1,15,1
lis,1,1,3,1,0,16,0
monst,1,3.5,4,0,1,0,14
rum,0,0,5,1,0,1,13
hor,1,2,4,0,2,2,12
ren,1,2,2,1,1,3,11
dum,0,0,5,2,0,4,10
in,1,2,3,0,1,5,9
gens,1,3,2,1,0,6,8
cui,2,1,12,0,0,7,7
quot,1,2,4,0,0,8,6
sunt,1,3,5,0,0,9,5
cor,1,2,4,0,2,10,4
po,1,1,4,1,1,11,3
re,1,1.5,2,2,0,12,2
plu,1,1,5,0,1,13,1
mae,2,0,7,1,0,14,0
tot,1,2,4,0,0,0,14
vi,1,1,3,0,2,1,13
gi,1,1,3,1,1,2,12
les,1,1,2,2,0,3,11
o,1,1,4,0,2,4,10
cu,1,1,5,1,1,5,9
li,1,1,3,2,0,6,8
sub,1,2,5,0,1,7,7
ter,1,2,2,1,0,8,6
mi,1,1,3,0,3,9,5
ra,1,1,1,1,2,10,4
bi,1,1,3,2,1,11,3
le,1,1,2,3,0,12,2
dic,1,2,3,0,1,13,1
tu,1,0,5,1,0,14,0
tot,1,1.5,4,0,0,0,15
lin,1,2,3,0,1,1,14
guae,2,1,7,1,0,2,13
to,1,1,4,0,2,3,12
ti,1,1,3,1,1,4,11
dem,0,0,2,2,0,5,10
o,1,1,4,0,1,6,9
ra,1,1,1,1,0,7,8
so,1,1,4,0,1,8,7
nant,1,3,1,1,0,9,6
